respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,sigma_u,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
14,47,Male,No religion,Separated,No,Had COVID,2,NA,,20260909002,-3.51576,-1.16122,-0.9089,-1.41636,-3.27083,-0.239131,-0.0393186,0.175502,0.169539,-0.00161313,2.2453,0.692115,-0.0135258,0.261359,2.48167,3.33214,0.802,0.832728,1.07449,2.99111,-0.0152358,0.0224845,0.0493808,0.231651,-0.280651,-1.06417,-1.671,-3.93502,-0.019552
15,34,Male,Hindu,Single,No,Had COVID,3,NA,,20260909002,-3.57556,-1.2208,-1.04559,-1.70249,-3.57091,-0.218395,-0.0356417,0.044909,-0.0988517,-0.0258555,2.3363,0.865334,0.263777,0.635224,2.78737,3.49567,0.92834,1.1818,1.2199,3.06535,-0.0161093,0.023114,0.0643412,0.379675,-0.25809,-1.05015,-1.63767,-3.89102,-0.0149789
16,48,Female,Christian,Single,Yes,Had COVID,1,NA,,20260909002,-3.06214,-0.683501,-0.676852,-1.1747,-3.06237,-0.433516,-0.248531,-0.0770224,-0.191102,-0.169139,2.14189,0.618293,0.102727,0.507281,2.63967,2.92008,0.436087,0.886867,0.848132,2.60793,-0.015098,0.0227104,9.17818e-4,0.223778,-0.293833,-1.08715,-1.63712,-3.92848,-0.0810209
17,50,Female,Christian,Married,No,Bereaved,4,NA,,20260909002,-3.32258,-0.930015,-0.804098,-1.14874,-3.30231,-0.292659,-0.144052,0.0372521,-0.0486425,0.0229127,2.13271,0.684799,0.119179,0.179202,2.77839,3.26809,0.81735,0.910624,0.839622,2.93024,-0.0148212,0.0217878,0.0198351,0.270886,-0.277447,-1.07888,-1.5959,-3.83592,-0.0906772
18,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-3.43859,-0.914776,-0.871073,-1.48966,-3.34293,-0.341041,-0.105073,0.0566553,0.167766,-0.0427743,2.5184,0.73252,0.170874,0.56081,2.67729,3.31067,0.693484,0.99623,0.970368,3.07676,-0.0147542,0.0218547,0.0365818,0.241914,-0.287046,-1.07689,-1.64572,-3.90572,-0.0651157
19,33,Male,Christian,Married,No,Had COVID,3,NA,,20260909002,-3.43144,-1.14118,-0.966808,-1.4873,-3.2178,-0.24042,0.0603678,0.14602,0.227551,0.118161,2.17768,0.766483,0.0983452,0.296373,2.22979,3.37526,0.84137,0.940968,0.903188,2.59732,-0.0144729,0.0222509,0.0397333,0.331875,-0.271488,-0.93319,-1.64715,-3.84471,-0.0917547
20,89,Female,Christian,Married,No,None,1,NA,,20260909002,-3.82369,-1.23891,-0.915459,-1.5392,-3.22971,-0.12913,0.0949694,0.147228,0.0178404,-0.0447891,2.57995,0.798533,0.170924,0.561198,2.47049,3.46209,0.681763,1.00108,1.03485,2.64845,-0.0154932,0.0223956,0.0518791,0.335961,-0.288611,-1.12826,-1.63553,-3.8988,-0.0238977
21,38,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-3.37597,-0.897254,-0.760505,-1.49765,-3.04327,-0.393044,-0.148423,-0.0784091,0.00444267,-0.274771,2.30603,0.632666,0.192323,0.533399,2.31368,3.25066,0.770305,0.971439,1.1086,2.73929,-0.0160841,0.0240248,0.0685667,0.324616,-0.300916,-1.10996,-1.647,-3.95896,-0.0585798
22,46,Female,Christian,Single,Yes,Long COVID,4,NA,,20260909002,-3.75546,-1.22754,-0.974125,-1.74439,-3.29328,-0.157816,-0.06577,-0.0925795,-0.0338101,-0.116099,2.58802,0.871815,0.35757100000000003,0.805496,2.71468,3.41647,0.912452,1.09785,1.13777,3.00465,-0.0165224,0.0225411,0.0727119,0.277063,-0.3428,-1.07099,-1.73988,-4.01023,0.00225842
23,38,Female,No religion,Widowed,Yes,None,1,NA,,20260909002,-3.41988,-1.02838,-0.751436,-1.36307,-3.40271,-0.137023,0.0539361,0.162207,0.144783,0.168995,2.45001,0.841893,0.0243241,0.423313,2.6896,3.2553,0.840251,0.883827,0.925341,3.06996,-0.0158596,0.0224508,0.0869788,0.269766,-0.286089,-1.12781,-1.62528,-3.96651,-0.100808
24,34,Female,No religion,Married,Yes,None,1,NA,,20260909002,-3.51322,-1.00927,-0.815003,-1.28384,-3.02762,-0.125012,-0.0816092,0.0695722,0.00937064,0.0907851,2.32439,0.637189,0.143072,0.513082,2.2598,3.14455,0.623708,0.854992,0.749806,2.56388,-0.0164452,0.0210521,0.0129937,0.257353,-0.277262,-1.08851,-1.62012,-3.9249,-0.0347394
25,75,Male,Christian,Single,No,Had COVID,4,NA,,20260909002,-3.61996,-1.00343,-0.648988,-1.24869,-3.22861,-0.0737586,-0.0283296,-0.0204193,-0.147486,-0.0203181,2.21161,0.499488,-0.109161,0.370646,2.35687,3.48132,0.78361,0.741427,0.862975,2.81848,-0.0151481,0.0230093,0.0155863,0.219372,-0.293482,-1.11018,-1.70694,-3.96847,-0.0856623
26,48,Male,Christian,Divorced,No,Bereaved,2,NA,,20260909002,-3.36607,-1.03922,-0.94473,-1.46667,-3.16302,-0.406011,-0.204557,-0.0246148,-0.0676794,-0.0509825,2.2595,0.728766,0.236507,0.411953,2.45941,3.41431,0.996189,1.12513,1.14036,2.92937,-0.0152922,0.0221764,0.1155,0.229581,-0.326735,-1.06047,-1.69165,-3.93894,-0.0127503
27,59,Female,No religion,Married,No,Bereaved,2,2,Libertarianism,20260909002,-3.2488,-0.814627,-0.66606,-1.18551,-2.93839,-0.272982,-0.0915796,0.014337,0.0394782,-0.358389,2.25139,0.563565,-0.131836,0.262759,2.4764,3.16369,0.621641,0.917476,0.904189,2.68665,-0.0145484,0.0216323,-0.00841398,0.22663,-0.292792,-1.12687,-1.63794,-3.91906,-0.0519604
28,31,Male,No religion,Single,Yes,Had COVID,2,NA,,20260909002,-3.17437,-0.828954,-0.880761,-1.26017,-3.0528,-0.44629,-0.356999,0.0121148,-0.228926,-0.284953,1.9364,0.477612,0.128494,0.35854,2.40504,3.28532,0.834697,1.06323,1.05222,2.92563,-0.0157122,0.0221929,0.0547566,0.232973,-0.286259,-1.08064,-1.67456,-3.86423,-0.0718282
29,68,Male,No religion,Married,No,Had COVID,4,NA,,20260909002,-3.38124,-0.975041,-0.882047,-1.45966,-3.36549,-0.54692,-0.442868,-0.113551,-0.328398,-0.330325,2.13652,0.635639,0.173889,0.557324,2.48796,3.46114,0.995097,1.05794,1.23909,3.25397,-0.0155523,0.0223789,-0.0220084,0.248255,-0.248701,-1.06197,-1.72105,-3.93906,-0.0556568
30,42,Female,No religion,Married,Yes,None,2,NA,,20260909002,-3.59194,-1.12412,-0.847428,-1.44413,-3.48972,-0.228286,-0.120633,-0.0949081,-0.0405606,-0.0740189,2.20744,0.577495,0.0363775,0.261011,2.52631,3.31375,0.826708,0.862131,0.934544,3.08317,-0.0151069,0.0215417,0.0211945,0.240223,-0.262988,-1.02263,-1.69716,-3.94865,-0.0487281
31,46,Female,Not answered,Married,No,Had COVID,1,NA,,20260909002,-3.2148,-0.936381,-0.685982,-1.25984,-3.06186,-0.361474,-0.077319,-0.11333,-0.147363,-0.0201018,1.91495,0.47966,-0.0556034,0.105969,2.24492,2.99867,0.617332,0.86435,0.847421,2.59908,-0.0155024,0.0229752,-0.00665732,0.259858,-0.23059,-1.04947,-1.66181,-3.8973,-0.0597754
32,23,Female,No religion,Single,No,Had COVID,2,NA,,20260909002,-3.54021,-1.19604,-0.878703,-1.47055,-3.65659,-0.118497,0.131928,0.213447,0.175659,0.465216,2.11828,0.680158,0.0913933,0.419003,2.67191,3.21486,0.684354,0.825263,0.86487,2.93211,-0.0160793,0.0217118,0.037376,0.272407,-0.33539,-1.12906,-1.69855,-3.96324,-0.0168021
33,42,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-3.76678,-1.24097,-0.919087,-1.78917,-3.66471,0.0803662,0.210582,0.0173591,0.322362,0.076450099999999993,2.56952,0.787524,0.221356,0.723478,3.07163,3.31175,0.762668,0.885485,0.894694,3.16743,-0.0161378,0.0228031,0.0416995,0.289726,-0.296238,-1.04835,-1.71766,-3.98908,-0.0712803
34,48,Female,Hindu,Married,Yes,Bereaved,3,NA,,20260909002,-3.38709,-0.901984,-0.847107,-1.46756,-3.21585,-0.300992,-0.268071,0.0691704,-0.0324316,0.00833128,2.1717,0.594941,0.0685835,0.598209,2.3517,3.22239,0.698246,0.944466,1.10102,2.67657,-0.0158267,0.0230492,0.0679922,0.219851,-0.305232,-1.04677,-1.66458,-3.94523,-0.089645
35,36,Male,Christian,Single,No,Bereaved,4,1,Scientific Rationalism,20260909002,-3.66333,-1.08816,-0.928056,-1.56416,-3.43473,-0.126122,-0.05019,0.100526,0.238294,-0.0679661,2.55184,0.813601,0.127955,0.417964,2.67116,3.3709,0.656495,0.974222,1.00793,3.10905,-0.0154324,0.022809,0.034755,0.281075,-0.258069,-1.07322,-1.72439,-4.0513,-0.099338
36,31,Female,Jewish,Single,Yes,Had COVID,1,4,Conspiracy Ideation,20260909002,-3.29725,-0.745423,-0.667637,-1.3939,-3.18043,-0.271046,-0.117674,0.0572432,0.192406,-0.10265,2.14333,0.551243,-0.0823398,0.382617,2.60987,2.92377,0.411954,0.651419,0.808095,2.79688,-0.0150691,0.0229611,0.0316062,0.272679,-0.246404,-1.04965,-1.7207,-3.99611,-0.0650874
37,40,Female,No religion,Married,Yes,Had COVID,4,NA,,20260909002,-3.41108,-0.952031,-0.845462,-1.55401,-3.07525,-0.227083,-0.148538,0.00579595,-0.0142422,-0.100389,2.20947,0.634261,0.075642,0.79161,2.39213,3.23989,0.663586,0.752884,1.08278,2.66115,-0.014769,0.0223442,0.0522773,0.24066,-0.321018,-1.07478,-1.73997,-3.98101,-0.0623377
38,58,Female,Christian,Divorced,No,Had COVID,4,3,Communitarianism,20260909002,-3.27424,-0.850353,-0.7541,-1.40378,-3.19083,-0.184145,-0.0384945,0.038823,0.0469747,-0.0591703,2.04285,0.532053,0.167548,0.443811,2.65567,3.02098,0.432836,0.769993,0.808749,2.67932,-0.0154264,0.0233813,-0.00342613,0.232198,-0.254485,-1.10675,-1.63638,-3.9447,-0.0526815
39,29,Male,Christian,Divorced,Yes,Had COVID,4,NA,,20260909002,-3.28299,-0.794272,-0.58828,-1.37296,-3.10519,-0.219508,-0.0952466,-0.0348926,-0.00917897,-0.0266207,1.95482,0.445526,-0.0293348,0.353127,2.47846,3.14011,0.602317,0.659635,1.06376,2.61867,-0.0155999,0.0219298,0.0474672,0.228407,-0.309772,-1.13762,-1.61592,-3.86557,-0.0754573
40,55,Female,Not answered,Married,No,None,1,NA,,20260909002,-3.0959,-0.737485,-0.652871,-1.30703,-3.23095,-0.287289,-0.138898,0.0444372,0.119428,-0.248389,2.23213,0.65971,0.0820857,0.415312,2.6802,2.93624,0.552201,0.763716,0.811547,2.97624,-0.0158804,0.0233863,-0.0024252,0.211792,-0.267378,-1.09457,-1.66582,-4.00869,-0.0777619
41,73,Female,Not answered,Single,No,None,3,NA,,20260909002,-3.51573,-0.900378,-0.749975,-1.51083,-3.0307,-0.125067,-0.00265451,0.129924,0.106688,0.0732699,2.10738,0.417939,-0.13507,0.236669,2.11715,3.26301,0.501103,0.739187,0.935795,2.56772,-0.015209,0.024131,0.0424695,0.250595,-0.286799,-1.02038,-1.74577,-3.99121,-0.0433915
42,73,Female,No religion,Widowed,No,Bereaved,2,NA,,20260909002,-3.16976,-0.837418,-0.755541,-1.2156,-2.87042,-0.153064,-0.0728926,-0.0112982,0.0441852,-0.112191,1.98484,0.666535,0.136037,0.484408,2.33539,3.05812,0.564563,0.750438,0.500058,2.44628,-0.0151098,0.021343,0.0184546,0.312219,-0.265957,-0.977373,-1.61536,-3.81219,-0.0361411
43,29,Female,Christian,Single,No,None,1,NA,,20260909002,-3.3541,-0.872705,-0.700555,-1.28261,-3.29707,-0.34828,-0.171318,-0.0311155,0.0161269,0.0494455,2.2217,0.607361,0.00231932,0.25108,2.7106,3.30982,0.691774,0.856905,0.959403,2.96135,-0.0153858,0.023642,0.0307843,0.2127,-0.324368,-1.09012,-1.67506,-3.96537,-0.0323639
44,74,Female,Christian,Married,No,Had COVID,4,NA,,20260909002,-3.27896,-0.82966,-0.606325,-1.24537,-3.41779,-0.351734,-0.141356,-0.009237,0.0833365,0.0694814,2.17112,0.714518,-0.103238,0.366605,2.59141,3.07941,0.513705,0.626485,0.668626,2.98675,-0.0157827,0.0225829,0.0639293,0.297921,-0.258327,-1.09041,-1.69275,-3.95514,-0.0413424
45,29,Female,Christian,Married,No,None,4,NA,,20260909002,-3.44648,-0.943008,-0.798749,-1.49272,-3.2631,-0.182692,-0.0395098,0.0343142,-0.00200817,-0.00559377,2.18947,0.666311,0.0224494,0.46158,2.52691,3.09798,0.556818,0.874764,0.878481,2.86875,-0.015104,0.0226896,0.0291764,0.213302,-0.287184,-1.08976,-1.65399,-4.0718,-0.077521
46,18,Male,Christian,Single,No,None,4,1,Scientific Rationalism,20260909002,-3.5555,-1.20451,-0.825072,-1.47366,-3.45594,-0.043375,0.0658453,0.126316,-0.106658,0.135213,2.12993,0.733894,-0.0771663,0.45792,2.73297,3.3223,0.902499,0.864625,1.04376,3.01641,-0.016646,0.0228418,0.00224198,0.294318,-0.28059,-1.04241,-1.59192,-3.89668,-0.0152769
47,60,Female,Muslim,Single,No,Had COVID,2,NA,,20260909002,-3.6032,-1.18038,-0.788247,-1.58594,-3.30257,0.0571781,0.231948,0.104355,0.404251,0.355853,2.18983,0.664279,-7.21201e-4,0.498553,2.38584,3.23969,0.650194,0.830461,0.929408,2.59552,-0.0161388,0.0224112,0.00571903,0.21598,-0.285184,-1.05324,-1.74615,-4.00112,-0.107674
48,41,Female,Not answered,Single,Yes,None,1,NA,,20260909002,-3.50877,-0.930337,-0.78274,-1.53834,-3.3564600000000002,-0.28151,-0.229167,-0.0219413,-0.0250706,-0.187893,2.3256,0.798729,0.00723032,0.715956,2.9348,3.18293,0.561159,0.772907,0.996294,3.10113,-0.0140511,0.0230292,-0.00844137,0.200177,-0.329008,-1.1347,-1.72669,-3.94354,-0.0262103
49,29,Female,Muslim,Single,Yes,Bereaved,3,NA,,20260909002,-3.42978,-0.896816,-0.744979,-1.41648,-3.08883,-0.209828,-0.0349819,0.0546501,-3.15066e-4,-0.0171115,2.31865,0.584467,0.0213661,0.577346,2.45136,3.36119,0.722344,0.786493,0.858024,2.86853,-0.0157831,0.0236685,-0.0381049,0.25385,-0.287346,-1.10619,-1.64551,-3.98062,-0.116699
50,50,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-3.42961,-0.939442,-0.71717,-1.44788,-3.14586,-0.142641,-0.0989746,-0.0591509,-0.0570932,-0.061368,1.91917,0.417592,-0.0374592,0.254905,2.20047,3.27656,0.674447,0.762651,0.933464,2.79605,-0.0151892,0.0223862,-0.0430891,0.297748,-0.259903,-1.014,-1.6524,-3.94583,-0.0514964
51,36,Male,No religion,Single,Yes,Long COVID,4,NA,,20260909002,-3.48332,-0.931725,-0.721828,-1.29793,-3.493,-0.130113,0.10352600000000001,0.151983,0.075433,0.202719,2.20919,0.507589,0.0104705,0.303463,2.69063,3.26144,0.576216,0.836673,0.915956,2.92248,-0.0170169,0.0246276,0.0452981,0.313415,-0.307398,-1.1798,-1.64418,-4.08966,-0.080527
52,35,Male,No religion,Married,No,None,4,NA,,20260909002,-3.55679,-1.06538,-0.778794,-1.25947,-3.37418,-0.263557,-0.161073,-0.119981,-0.236401,-0.319606,2.31272,0.680793,0.036345,0.336468,2.67586,3.46147,0.883308,1.03622,1.0769,3.18816,-0.0151493,0.0230651,0.0554799,0.243341,-0.295091,-1.08428,-1.71651,-4.01333,-0.0407784
53,61,Female,Christian,Married,No,None,4,NA,,20260909002,-3.3731,-1.00173,-0.736773,-1.44146,-3.18095,-0.200886,-0.0675676,0.0809757,0.0553706,-0.0511567,1.98734,0.527888,0.0123945,0.362427,2.46867,3.21278,0.869042,0.802802,0.921117,3.07931,-0.0161315,0.0216707,0.00273279,0.217999,-0.263965,-1.07616,-1.59166,-3.89408,-0.0667606
54,41,Male,No religion,Married,Yes,Had COVID,3,NA,,20260909002,-3.28903,-1.0434,-0.877101,-1.3922,-3.45597,-0.450265,-0.170988,0.00837712,-0.0413164,0.0859708,2.01345,0.621645,0.0533639,0.187575,2.50967,3.25186,0.834429,1.03123,1.03032,3.02299,-0.0155544,0.0211103,0.00820361,0.286617,-0.246338,-1.02213,-1.67631,-3.8762,-0.0417448
55,67,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-3.55694,-1.24149,-0.892341,-1.36811,-3.29133,-0.283875,-0.0705028,0.116451,-0.156178,0.0990668,2.14667,0.884581,0.0152425,0.296951,2.46147,3.51659,1.09505,1.0701,1.20024,2.973,-0.015337,0.0226198,0.00213507,0.233336,-0.346476,-1.10663,-1.68632,-3.95978,-0.075712
56,35,Male,Not answered,Single,No,None,1,NA,,20260909002,-3.67594,-1.34008,-0.971447,-1.69894,-3.23178,-0.0962512,0.0529233,0.118558,0.181149,-0.427732,2.50276,0.949099,0.175791,0.558078,2.73338,3.39145,1.01609,0.903259,1.00891,2.84618,-0.0150031,0.0219088,0.0341103,0.239621,-0.271978,-1.04395,-1.63192,-3.8785,-0.0695091
57,61,Female,No religion,Married,No,None,2,NA,,20260909002,-3.37323,-0.939623,-0.695448,-1.39723,-3.43918,-0.322809,-0.146831,0.0266349,-0.138061,-0.133446,2.09989,0.432747,-0.0444614,0.441691,2.56119,3.30862,0.827263,0.797231,1.06755,3.16466,-0.0160355,0.0226447,0.0292807,0.227508,-0.284865,-1.13082,-1.68005,-3.98209,-0.0760483
58,20,Female,No religion,Single,No,None,4,NA,,20260909002,-3.27424,-0.850353,-0.7541,-1.40378,-3.19083,-0.184145,-0.0384945,0.038823,0.0469747,-0.0591703,2.04285,0.532053,0.167548,0.443811,2.65567,3.02098,0.432836,0.769993,0.808749,2.67932,-0.0154264,0.0233813,-0.00342613,0.232198,-0.254485,-1.10675,-1.63638,-3.9447,-0.0526815
59,46,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-3.52219,-1.07234,-0.769553,-1.41955,-3.60146,-0.159056,0.146718,0.0194418,0.158709,0.156818,2.37707,0.672239,-0.0273278,0.164417,2.62106,3.35359,0.750077,0.901968,0.916678,2.92119,-0.0159052,0.0233579,0.0966181,0.277297,-0.275496,-1.12075,-1.68941,-4.03874,-0.0546003
60,27,Female,Christian,Single,No,Had COVID,2,NA,,20260909002,-3.45344,-0.979255,-0.725523,-1.49947,-3.10195,-0.191857,-0.0404739,-0.123431,0.131549,-0.109217,2.2106,0.607901,0.064174900000000007,0.410219,2.53494,3.36148,0.777337,0.858245,1.00496,2.84618,-0.0151784,0.0219136,0.0139787,0.271711,-0.26164,-1.10341,-1.6997,-3.96701,-0.0789463
61,52,Female,Christian,Married,No,None,2,NA,,20260909002,-3.33324,-0.99745,-0.799568,-1.42264,-3.48601,-0.333037,-0.0491626,-0.057618,0.0875181,0.095335,2.2848,0.751485,0.110774,0.309716,2.70482,3.25437,0.77064,1.03593,1.04572,3.15384,-0.0162788,0.0222995,-0.0258426,0.229801,-0.244064,-1.03016,-1.61898,-3.87693,-0.0706861
62,58,Female,No religion,Married,No,Bereaved,2,NA,,20260909002,-3.56134,-1.11282,-0.965231,-1.4841,-3.12473,-0.13557,-0.0305677,0.0274573,0.086604,-0.136503,2.1598,0.622268,0.328167,0.504249,2.32503,3.11606,0.614526,0.89792400000000006,0.896943,2.69688,-0.0150564,0.0219002,0.0463033,0.196306,-0.31508,-1.0792,-1.64818,-3.91705,-0.0506359
63,53,Male,Christian,Married,No,None,3,NA,,20260909002,-3.36288,-0.959648,-0.813109,-1.39613,-3.1052,-0.278005,-0.158485,0.0387052,0.0314579,-0.0678932,2.04709,0.673411,0.0865967,0.47987,2.51028,3.04147,0.643157,0.787027,0.828996,2.84014,-0.0150483,0.0226937,-0.0081691,0.241457,-0.274035,-1.10768,-1.66405,-3.96274,-0.103434
64,61,Male,Christian,Married,No,None,4,1,Scientific Rationalism,20260909002,-3.03302,-0.713136,-0.589331,-1.17486,-2.84852,-0.366919,-0.159509,0.00958805,0.0182666,-0.226734,1.78608,0.459024,-0.0478937,0.133181,2.3204,2.83409,0.412869,0.588526,0.717887,2.56759,-0.0154263,0.0213314,0.056441,0.207606,-0.284138,-1.03329,-1.65797,-3.96459,-0.0555389
65,26,Female,Christian,Single,No,Long COVID,3,NA,,20260909002,-3.38212,-0.857945,-0.642268,-1.30944,-3.14707,-0.346795,-0.156188,0.00987682,-0.0292497,0.145324,2.09491,0.486206,-0.09259,0.229825,2.33218,3.31306,0.693581,0.826467,1.05147,2.81449,-0.0163034,0.0217083,-0.0414378,0.216353,-0.3176,-1.1038,-1.62693,-3.88157,-0.0891623
