respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
42,73,Female,No religion,Widowed,No,Bereaved,3,,,20260909
43,29,Female,Christian,Single,No,None,2,,,20260909
44,74,Female,Christian,Married,No,Had COVID,2,,,20260909
45,29,Female,Christian,Married,No,None,1,,,20260909
46,18,Male,Christian,Single,No,None,2,,,20260909
47,60,Female,Muslim,Single,No,Had COVID,4,,,20260909
48,41,Female,Not answered,Single,Yes,None,4,,,20260909
49,29,Female,Muslim,Single,Yes,Bereaved,2,,,20260909
50,50,Female,Christian,Married,No,Had COVID,2,,,20260909
51,36,Male,No religion,Single,Yes,Long COVID,1,,,20260909
52,35,Male,No religion,Married,No,None,1,,,20260909
53,61,Female,Christian,Married,No,None,4,,,20260909
54,41,Male,No religion,Married,Yes,Had COVID,3,,,20260909
55,67,Male,No religion,Married,No,Had COVID,4,,,20260909
56,35,Male,Not answered,Single,No,None,1,,,20260909
57,61,Female,No religion,Married,No,None,3,,,20260909
58,20,Female,No religion,Single,No,None,4,,,20260909
59,46,Male,No religion,Single,Yes,Had COVID,3,,,20260909
60,27,Female,Christian,Single,No,Had COVID,1,,,20260909
61,52,Female,Christian,Married,No,None,2,,,20260909
62,58,Female,No religion,Married,No,Bereaved,4,,,20260909
63,53,Male,Christian,Married,No,None,4,,,20260909
64,61,Male,Christian,Married,No,None,3,,,20260909
65,26,Female,Christian,Single,No,Long COVID,2,,,20260909
66,28,Female,No religion,Separated,Yes,None,2,,,20260909
67,18,Female,No religion,Single,No,Bereaved,1,,,20260909
68,44,Female,Christian,Married,No,None,4,,,20260909
69,72,Female,Muslim,Widowed,No,None,3,,,20260909
70,19,Male,Hindu,Single,No,None,3,,,20260909
71,18,Male,No religion,Single,No,None,1,,,20260909
72,33,Female,No religion,Married,Yes,Bereaved,4,,,20260909
73,59,Male,Muslim,Married,No,Bereaved,3,,,20260909
74,54,Female,Christian,Married,Yes,None,3,,,20260909
75,46,Female,No religion,Single,No,Had COVID,3,5,Institutional Trust and Technocratic Governance,20260909
76,67,Female,Christian,Widowed,No,Long COVID,1,,,20260909
77,90,Male,Muslim,Married,No,Had COVID,3,,,20260909
78,21,Female,Christian,Single,No,None,2,,,20260909
79,52,Male,No religion,Married,No,Had COVID,3,,,20260909
80,54,Female,Christian,Married,No,Had COVID,3,,,20260909
81,31,Male,Christian,Single,Yes,Had COVID,1,,,20260909
82,19,Male,No religion,Single,No,Had COVID,3,,,20260909
83,53,Female,Christian,Single,No,Had COVID,1,2,Libertarianism,20260909
84,43,Male,Christian,Single,No,Long COVID,4,,,20260909
85,61,Female,No religion,Married,No,Had COVID,3,,,20260909
86,24,Male,Christian,Single,No,None,3,,,20260909
87,59,Female,Christian,Single,No,Had COVID,3,,,20260909
88,90,Female,Christian,Divorced,No,Bereaved,2,,,20260909
89,67,Female,Christian,Widowed,No,Had COVID,2,,,20260909
90,58,Female,Not answered,Divorced,No,Bereaved,4,,,20260909
91,63,Male,Christian,Married,No,Had COVID,4,,,20260909
92,54,Female,Christian,Widowed,No,None,4,,,20260909
93,35,Male,Christian,Married,Yes,Bereaved,1,,,20260909
94,40,Male,Not answered,Married,No,Had COVID,4,,,20260909
95,23,Male,Christian,Single,Yes,None,2,,,20260909
96,53,Female,Christian,Married,No,Had COVID,2,,,20260909
97,44,Male,Christian,Single,No,None,2,4,Conspiracy Ideation,20260909
98,60,Female,Christian,Divorced,No,None,3,,,20260909
99,29,Male,Christian,Single,No,Had COVID,1,,,20260909
100,31,Male,No religion,Married,No,Had COVID,1,,,20260909
101,56,Female,No religion,Married,No,Had COVID,4,,,20260909
102,51,Female,No religion,Divorced,No,None,4,,,20260909
103,62,Male,Christian,Married,No,Had COVID,3,,,20260909
104,75,Male,Christian,Widowed,No,None,2,2,Libertarianism,20260909
105,57,Male,No religion,Married,No,Bereaved,2,,,20260909
106,42,Female,No religion,Married,No,Had COVID,1,,,20260909
107,85,Female,No religion,Widowed,No,None,3,,,20260909
108,40,Female,No religion,Married,Yes,None,1,,,20260909
109,52,Male,No religion,Married,No,Had COVID,3,,,20260909
110,80,Female,Christian,Widowed,No,Bereaved,1,,,20260909
111,60,Female,No religion,Married,No,Had COVID,2,,,20260909
112,65,Male,Christian,Married,No,Had COVID,3,,,20260909
113,56,Female,Christian,Married,No,Had COVID,2,,,20260909
114,68,Male,Christian,Married,No,Had COVID,2,,,20260909
115,55,Female,Christian,Divorced,No,None,1,,,20260909
116,25,Female,No religion,Single,No,Had COVID,2,,,20260909
117,19,Male,Christian,Single,No,None,2,5,Institutional Trust and Technocratic Governance,20260909
118,63,Female,Muslim,Married,No,Had COVID,1,,,20260909
119,67,Female,No religion,Divorced,No,Had COVID,4,,,20260909
120,44,Female,No religion,Divorced,Yes,None,4,,,20260909
121,54,Male,Christian,Married,Yes,None,1,,,20260909
122,37,Male,Christian,Married,Yes,Had COVID,4,,,20260909
123,57,Female,Christian,Married,No,Had COVID,3,,,20260909
124,50,Female,Sikh,Divorced,Yes,Had COVID,4,,,20260909
125,79,Female,No religion,Widowed,No,None,2,3,Communitarianism,20260909
126,49,Female,Christian,Married,Yes,Had COVID,2,,,20260909
127,41,Male,No religion,Single,Yes,Had COVID,4,,,20260909
128,60,Male,Christian,Divorced,No,Bereaved,4,4,Conspiracy Ideation,20260909
129,90,Male,Christian,Married,No,None,1,,,20260909
130,68,Female,No religion,Divorced,No,Bereaved,3,,,20260909
131,45,Male,No religion,Married,Yes,Had COVID,2,,,20260909
132,36,Male,Christian,Married,No,None,1,,,20260909
133,65,Male,Not answered,Married,No,None,1,,,20260909
134,20,Male,Not answered,Single,No,None,3,,,20260909
135,33,Female,Muslim,Separated,Yes,Bereaved,2,,,20260909
136,65,Male,Muslim,Widowed,No,Had COVID,2,1,Scientific Rationalism,20260909
137,81,Female,Christian,Widowed,No,Long COVID,1,,,20260909
138,61,Female,Muslim,Married,No,Had COVID,3,,,20260909
139,42,Female,No religion,Married,Yes,Had COVID,4,,,20260909
140,48,Male,Christian,Married,No,Had COVID,1,,,20260909
141,69,Male,Christian,Married,No,Had COVID,2,,,20260909
142,71,Female,No religion,Married,No,None,1,,,20260909
143,26,Male,Christian,Married,No,Had COVID,4,3,Communitarianism,20260909
144,27,Male,No religion,Single,No,Had COVID,2,,,20260909
145,60,Female,Christian,Married,No,Had COVID,1,,,20260909
146,27,Male,No religion,Single,No,Had COVID,1,,,20260909
147,33,Male,No religion,Single,Yes,None,1,,,20260909
148,40,Male,No religion,Married,No,Bereaved,4,,,20260909
149,66,Female,No religion,Widowed,No,Bereaved,3,,,20260909
150,54,Female,Christian,Married,No,Had COVID,4,,,20260909
151,55,Female,No religion,Single,No,Long COVID,3,,,20260909
152,40,Female,Christian,Single,No,Bereaved,4,,,20260909
153,23,Male,Christian,Single,No,Had COVID,1,,,20260909
154,25,Female,Christian,Single,No,None,1,,,20260909
155,82,Female,Christian,Divorced,No,None,2,,,20260909
156,30,Female,No religion,Married,Yes,Had COVID,3,,,20260909
157,32,Male,Christian,Single,No,None,4,,,20260909
158,40,Male,Christian,Widowed,Yes,Had COVID,2,,,20260909
159,24,Female,Muslim,Single,No,Had COVID,1,,,20260909
160,78,Male,Christian,Separated,No,None,4,,,20260909
161,37,Female,No religion,Divorced,No,Had COVID,4,,,20260909
162,34,Female,Other religion,Married,Yes,None,4,,,20260909
163,26,Male,Christian,Single,No,Had COVID,3,,,20260909
164,50,Male,Christian,Married,Yes,Had COVID,1,,,20260909
165,63,Male,Christian,Divorced,No,Had COVID,1,,,20260909
166,76,Female,Christian,Married,No,None,2,,,20260909
167,20,Female,Christian,Single,No,Bereaved,3,1,Scientific Rationalism,20260909
168,63,Female,No religion,Married,No,Bereaved,4,,,20260909
169,64,Male,No religion,Married,No,None,3,5,Institutional Trust and Technocratic Governance,20260909
170,32,Male,Christian,Single,No,Bereaved,4,,,20260909
171,30,Male,Christian,Single,No,Bereaved,2,,,20260909
172,30,Female,Not answered,Married,Yes,Had COVID,3,,,20260909
173,33,Female,Christian,Single,Yes,None,1,,,20260909
174,43,Male,Christian,Married,Yes,None,1,,,20260909
175,58,Female,Christian,Divorced,No,Had COVID,1,,,20260909
176,67,Male,No religion,Single,No,Had COVID,3,,,20260909
177,57,Male,No religion,Divorced,Yes,Had COVID,4,,,20260909
178,74,Female,Christian,Widowed,No,Bereaved,1,,,20260909
179,62,Male,No religion,Married,No,Bereaved,4,,,20260909
180,29,Female,Muslim,Single,No,None,1,,,20260909
181,42,Male,Not answered,Divorced,No,None,2,,,20260909
182,33,Female,Christian,Divorced,No,None,3,,,20260909
183,84,Female,Other religion,Married,No,Bereaved,1,,,20260909
184,29,Male,Christian,Single,No,Bereaved,2,,,20260909
185,34,Female,Muslim,Single,No,None,3,,,20260909
186,68,Female,Christian,Married,No,None,3,3,Communitarianism,20260909
187,39,Male,Christian,Married,Yes,None,3,,,20260909
188,19,Female,No religion,Single,No,None,4,,,20260909
189,71,Female,No religion,Widowed,No,None,2,,,20260909
190,30,Female,Christian,Single,No,Bereaved,4,,,20260909
191,90,Male,Christian,Widowed,No,None,2,,,20260909
192,79,Male,Christian,Widowed,No,Had COVID,4,3,Communitarianism,20260909
193,54,Male,No religion,Married,No,Had COVID,4,,,20260909
194,54,Female,Sikh,Married,No,Bereaved,2,,,20260909
195,75,Female,No religion,Widowed,No,Had COVID,3,,,20260909
196,66,Female,Christian,Married,No,None,3,,,20260909
197,23,Female,Christian,Single,No,Had COVID,1,,,20260909
198,40,Female,Christian,Single,Yes,None,4,,,20260909
199,49,Male,Christian,Married,No,Bereaved,3,,,20260909
200,39,Male,No religion,Married,Yes,Had COVID,3,,,20260909
201,83,Male,Christian,Married,No,Had COVID,4,,,20260909
202,50,Female,No religion,Divorced,No,Had COVID,4,4,Conspiracy Ideation,20260909
203,51,Female,Christian,Married,No,Long COVID,2,,,20260909
204,73,Female,Christian,Married,No,None,3,,,20260909
205,23,Female,No religion,Single,No,Had COVID,2,,,20260909
206,33,Male,Christian,Single,Yes,Had COVID,1,,,20260909
207,82,Male,Christian,Widowed,No,None,4,,,20260909
208,55,Male,No religion,Married,No,Bereaved,1,,,20260909
209,61,Male,Christian,Single,No,None,4,,,20260909
210,39,Female,Christian,Single,No,None,3,,,20260909
211,88,Female,Christian,Married,No,Bereaved,2,,,20260909
212,61,Female,Christian,Married,No,Long COVID,3,,,20260909
213,57,Male,No religion,Married,Yes,Had COVID,3,,,20260909
214,60,Female,Christian,Married,No,Had COVID,3,,,20260909
215,80,Male,Christian,Married,No,None,3,1,Scientific Rationalism,20260909
216,55,Female,Christian,Married,No,Long COVID,4,,,20260909
217,50,Female,No religion,Divorced,No,Had COVID,2,,,20260909
218,35,Male,Christian,Married,Yes,None,4,,,20260909
219,56,Female,No religion,Married,No,Had COVID,2,,,20260909
220,66,Male,Christian,Single,No,Had COVID,2,,,20260909
221,29,Female,Christian,Widowed,Yes,None,2,,,20260909
222,19,Male,Christian,Single,No,None,4,,,20260909
223,49,Male,Muslim,Divorced,No,None,1,,,20260909
224,73,Female,Christian,Widowed,No,None,4,,,20260909
225,48,Male,Christian,Separated,Yes,Had COVID,3,,,20260909
226,81,Female,Christian,Widowed,No,None,3,,,20260909
227,35,Male,Jewish,Married,Yes,Had COVID,2,,,20260909
228,45,Male,No religion,Divorced,No,None,3,,,20260909
229,20,Female,Christian,Single,No,Had COVID,1,,,20260909
230,70,Male,Not answered,Married,No,None,2,,,20260909
231,30,Male,No religion,Single,No,None,3,,,20260909
232,33,Male,No religion,Married,No,Had COVID,1,,,20260909
233,24,Female,No religion,Single,No,Had COVID,1,,,20260909
234,58,Male,Christian,Married,No,Had COVID,3,4,Conspiracy Ideation,20260909
235,79,Male,Christian,Widowed,Yes,Had COVID,3,,,20260909
236,31,Female,No religion,Married,No,None,3,,,20260909
237,76,Male,No religion,Single,No,Had COVID,4,,,20260909
238,68,Female,Christian,Single,No,None,3,,,20260909
239,82,Male,Muslim,Married,No,None,4,5,Institutional Trust and Technocratic Governance,20260909
240,39,Female,No religion,Married,Yes,Had COVID,1,,,20260909
241,47,Female,Christian,Married,Yes,None,2,,,20260909
242,26,Male,No religion,Married,No,Had COVID,4,,,20260909
243,62,Male,No religion,Married,No,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909
244,30,Female,No religion,Single,No,Bereaved,1,,,20260909
245,41,Female,Christian,Married,No,None,1,,,20260909
246,34,Male,No religion,Single,Yes,Had COVID,3,,,20260909
247,85,Male,No religion,Married,No,None,4,,,20260909
248,23,Male,Christian,Single,No,Had COVID,1,,,20260909
249,30,Female,Christian,Single,Yes,None,3,,,20260909
250,24,Female,Christian,Single,No,None,3,,,20260909
251,45,Female,Not answered,Single,No,Had COVID,4,,,20260909
252,58,Female,No religion,Married,No,None,3,,,20260909
253,90,Female,No religion,Divorced,No,Had COVID,1,,,20260909
254,52,Male,No religion,Married,Yes,Had COVID,1,,,20260909
255,42,Female,Christian,Married,Yes,Had COVID,2,1,Scientific Rationalism,20260909
256,22,Male,Christian,Single,No,Had COVID,2,,,20260909
257,22,Female,No religion,Single,No,None,3,,,20260909
258,51,Female,Christian,Married,No,None,1,,,20260909
259,58,Male,No religion,Married,No,Bereaved,1,,,20260909
260,48,Male,Buddhist,Single,Yes,None,3,,,20260909
261,64,Male,Christian,Divorced,No,Bereaved,2,,,20260909
262,54,Male,Christian,Married,Yes,Had COVID,3,3,Communitarianism,20260909
263,37,Female,Christian,Married,No,Long COVID,1,3,Communitarianism,20260909
264,25,Male,Jewish,Single,No,Had COVID,2,,,20260909
265,87,Female,No religion,Married,No,None,1,,,20260909
266,78,Female,Christian,Married,No,Had COVID,4,,,20260909
267,45,Male,Christian,Single,No,Had COVID,1,2,Libertarianism,20260909
268,41,Female,Christian,Married,No,None,1,,,20260909
269,27,Female,No religion,Married,Yes,None,1,,,20260909
270,73,Female,Not answered,Married,No,Bereaved,4,5,Institutional Trust and Technocratic Governance,20260909
271,45,Male,No religion,Married,No,None,4,,,20260909
272,70,Male,Christian,Married,No,None,4,,,20260909
273,70,Female,No religion,Married,No,None,4,,,20260909
274,77,Male,Christian,Married,No,Had COVID,1,5,Institutional Trust and Technocratic Governance,20260909
275,31,Male,Christian,Married,Yes,None,4,,,20260909
276,27,Male,Christian,Single,No,None,4,,,20260909
277,31,Male,Jewish,Divorced,Yes,Had COVID,4,,,20260909
278,47,Male,Christian,Married,No,Had COVID,2,,,20260909
279,60,Female,No religion,Married,No,None,3,,,20260909
280,36,Male,Hindu,Single,No,None,2,,,20260909
281,72,Female,Christian,Married,No,None,1,,,20260909
282,21,Male,Christian,Single,No,Had COVID,3,,,20260909
283,34,Female,Christian,Single,No,None,2,,,20260909
284,28,Female,Christian,Separated,Yes,None,4,,,20260909
285,26,Female,No religion,Single,No,Bereaved,3,,,20260909
286,48,Male,No religion,Married,No,None,4,,,20260909
287,81,Male,Christian,Married,No,Bereaved,4,,,20260909
288,40,Male,Muslim,Single,Yes,Had COVID,2,,,20260909
289,38,Male,No religion,Divorced,Yes,Had COVID,1,2,Libertarianism,20260909
290,32,Male,Christian,Single,No,Had COVID,4,,,20260909
291,43,Female,Christian,Married,Yes,None,2,,,20260909
292,75,Male,Christian,Married,No,None,3,,,20260909
293,54,Female,Christian,Married,No,Had COVID,4,,,20260909
294,79,Male,Not answered,Married,No,Had COVID,4,,,20260909
295,46,Male,No religion,Single,No,Had COVID,1,,,20260909
296,44,Female,Christian,Single,No,Had COVID,2,,,20260909
297,56,Female,No religion,Married,Yes,Had COVID,2,,,20260909
298,26,Female,Not answered,Married,No,None,4,4,Conspiracy Ideation,20260909
299,44,Male,No religion,Divorced,No,None,2,,,20260909
300,19,Female,No religion,Single,No,Bereaved,4,,,20260909
301,68,Female,No religion,Married,No,Bereaved,4,,,20260909
302,35,Female,Christian,Single,No,Bereaved,3,,,20260909
303,60,Male,Christian,Married,No,None,4,,,20260909
304,62,Male,Christian,Married,No,None,2,,,20260909
305,41,Female,No religion,Married,Yes,Had COVID,4,,,20260909
306,27,Female,No religion,Married,No,None,1,,,20260909
307,22,Male,No religion,Single,No,None,4,,,20260909
308,75,Male,Christian,Single,No,Bereaved,4,,,20260909
309,73,Male,Not answered,Married,No,Had COVID,4,,,20260909
310,31,Female,No religion,Single,No,Bereaved,3,3,Communitarianism,20260909
311,50,Male,No religion,Married,No,None,4,,,20260909
312,33,Female,No religion,Married,Yes,Bereaved,2,,,20260909
313,27,Male,Christian,Single,No,Had COVID,1,,,20260909
314,68,Male,Christian,Married,No,Had COVID,2,,,20260909
315,90,Female,No religion,Divorced,No,None,3,,,20260909
316,67,Female,Christian,Widowed,No,Had COVID,4,,,20260909
317,77,Female,Muslim,Divorced,No,Bereaved,3,,,20260909
318,78,Female,Christian,Married,No,None,1,,,20260909
319,82,Male,Christian,Single,No,None,3,,,20260909
320,77,Male,Not answered,Single,No,None,1,,,20260909
321,25,Male,No religion,Married,No,None,3,,,20260909
322,51,Male,Christian,Married,No,Had COVID,4,4,Conspiracy Ideation,20260909
323,43,Female,Christian,Married,Yes,None,2,,,20260909
324,75,Male,No religion,Married,No,None,2,,,20260909
325,19,Female,Christian,Single,No,Had COVID,4,,,20260909
326,27,Female,No religion,Single,No,Had COVID,1,1,Scientific Rationalism,20260909
327,22,Male,No religion,Single,No,Had COVID,2,,,20260909
328,65,Male,Christian,Married,No,Bereaved,2,,,20260909
329,55,Male,Christian,Married,No,None,1,4,Conspiracy Ideation,20260909
330,85,Male,Christian,Widowed,No,None,2,,,20260909
331,49,Female,No religion,Single,No,None,3,,,20260909
332,57,Male,Christian,Single,No,None,1,,,20260909
333,64,Male,Not answered,Married,No,Had COVID,3,,,20260909
334,87,Female,Christian,Married,No,None,1,,,20260909
335,26,Male,No religion,Divorced,Yes,Had COVID,1,,,20260909
336,49,Male,Christian,Married,No,None,4,,,20260909
337,34,Female,Christian,Single,No,Long COVID,1,,,20260909
338,35,Male,Christian,Married,Yes,Had COVID,2,,,20260909
339,47,Female,No religion,Married,Yes,None,2,,,20260909
340,53,Female,No religion,Married,No,None,1,,,20260909
341,77,Female,Christian,Married,No,None,3,5,Institutional Trust and Technocratic Governance,20260909
342,75,Male,Christian,Married,No,None,4,,,20260909
343,21,Male,Hindu,Single,No,None,2,,,20260909
344,28,Male,No religion,Married,No,Bereaved,4,,,20260909
345,72,Male,Christian,Married,No,Bereaved,1,,,20260909
346,67,Female,No religion,Widowed,No,None,2,,,20260909
347,22,Male,No religion,Single,No,None,4,,,20260909
348,66,Female,Christian,Married,No,None,4,,,20260909
349,53,Female,Christian,Divorced,No,Had COVID,2,,,20260909
350,22,Male,Christian,Single,No,None,2,,,20260909
351,87,Female,Christian,Married,No,None,2,,,20260909
352,46,Female,No religion,Single,Yes,Had COVID,4,,,20260909
353,62,Female,Christian,Married,No,None,4,,,20260909
354,51,Female,No religion,Widowed,Yes,Had COVID,1,3,Communitarianism,20260909
355,48,Female,No religion,Married,No,None,1,,,20260909
356,21,Female,Christian,Single,No,None,3,,,20260909
357,21,Male,Christian,Single,No,None,2,,,20260909
358,53,Male,Muslim,Widowed,No,Had COVID,1,,,20260909
359,57,Female,No religion,Single,No,Had COVID,2,,,20260909
360,37,Male,Not answered,Married,No,Had COVID,4,,,20260909
361,74,Male,No religion,Widowed,No,None,2,,,20260909
362,85,Female,Hindu,Single,No,None,3,,,20260909
363,41,Female,Christian,Separated,No,Had COVID,3,,,20260909
364,59,Female,Christian,Divorced,No,Had COVID,4,,,20260909
365,42,Male,Christian,Single,Yes,Had COVID,2,,,20260909
366,76,Female,Christian,Divorced,No,None,2,,,20260909
367,76,Female,No religion,Widowed,No,None,3,5,Institutional Trust and Technocratic Governance,20260909
368,52,Female,Hindu,Married,No,Had COVID,3,,,20260909
369,25,Female,Hindu,Married,Yes,Had COVID,3,,,20260909
370,68,Male,No religion,Married,No,None,1,,,20260909
371,54,Female,Christian,Married,No,Bereaved,2,,,20260909
372,54,Female,No religion,Married,No,Bereaved,3,,,20260909
373,52,Female,No religion,Married,No,None,2,,,20260909
374,42,Female,No religion,Divorced,Yes,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909
375,18,Male,Christian,Single,No,None,4,,,20260909
376,66,Female,No religion,Married,No,Had COVID,1,,,20260909
377,34,Female,Christian,Married,No,None,4,,,20260909
378,82,Male,No religion,Single,No,Bereaved,1,,,20260909
379,53,Male,No religion,Divorced,No,Had COVID,4,,,20260909
380,47,Female,Christian,Separated,Yes,Long COVID,4,,,20260909
381,90,Male,Christian,Married,No,None,1,,,20260909
382,40,Male,Christian,Divorced,No,None,4,,,20260909
383,43,Male,Christian,Married,Yes,None,2,,,20260909
384,47,Female,No religion,Married,Yes,Long COVID,1,,,20260909
385,58,Male,No religion,Married,No,None,2,,,20260909
386,70,Female,No religion,Married,No,Had COVID,2,,,20260909
387,43,Female,No religion,Single,No,None,1,,,20260909
388,53,Male,Christian,Married,No,None,2,,,20260909
389,45,Male,No religion,Married,Yes,Had COVID,3,,,20260909
390,62,Male,Christian,Divorced,No,Had COVID,4,,,20260909
391,63,Female,Buddhist,Single,No,Had COVID,3,,,20260909
392,72,Female,No religion,Widowed,No,None,1,,,20260909
393,68,Female,Christian,Divorced,No,None,2,,,20260909
394,72,Female,Christian,Widowed,No,None,1,4,Conspiracy Ideation,20260909
395,34,Male,Christian,Divorced,Yes,None,2,,,20260909
396,63,Male,No religion,Married,No,Had COVID,4,,,20260909
397,29,Female,Christian,Married,No,None,4,,,20260909
398,58,Male,No religion,Married,No,Had COVID,4,,,20260909
399,26,Female,Christian,Married,No,None,1,,,20260909
400,75,Male,No religion,Divorced,No,None,4,,,20260909
401,34,Female,No religion,Single,Yes,Had COVID,2,3,Communitarianism,20260909
402,66,Female,Muslim,Single,No,None,4,,,20260909
403,38,Female,Christian,Single,No,None,2,,,20260909
404,32,Female,Christian,Single,No,None,2,1,Scientific Rationalism,20260909
405,58,Female,No religion,Married,No,Had COVID,2,3,Communitarianism,20260909
406,80,Male,Not answered,Married,No,Had COVID,4,,,20260909
407,44,Male,Christian,Divorced,No,Long COVID,1,2,Libertarianism,20260909
408,19,Male,No religion,Married,No,None,2,,,20260909
409,61,Female,No religion,Widowed,No,Had COVID,2,,,20260909
410,41,Female,Christian,Married,No,None,1,,,20260909
411,48,Female,Christian,Divorced,Yes,Had COVID,2,,,20260909
412,83,Male,No religion,Divorced,No,None,4,,,20260909
413,56,Female,Christian,Married,No,Had COVID,4,,,20260909
414,67,Female,No religion,Widowed,No,None,2,,,20260909
415,26,Female,Christian,Single,No,Bereaved,3,,,20260909
416,65,Female,Christian,Married,No,None,3,,,20260909
417,22,Female,No religion,Single,No,Bereaved,4,,,20260909
418,58,Male,No religion,Widowed,No,None,2,,,20260909
419,37,Male,Christian,Widowed,Yes,Had COVID,3,,,20260909
420,75,Female,Christian,Widowed,No,Bereaved,2,,,20260909
421,73,Male,Christian,Widowed,No,Bereaved,3,4,Conspiracy Ideation,20260909
422,56,Female,Christian,Married,No,Had COVID,2,3,Communitarianism,20260909
423,23,Male,Sikh,Single,No,Had COVID,1,,,20260909
424,28,Female,No religion,Single,No,None,1,,,20260909
425,26,Male,Christian,Single,No,Bereaved,4,5,Institutional Trust and Technocratic Governance,20260909
426,63,Male,Christian,Married,No,Had COVID,2,,,20260909
427,75,Male,No religion,Married,No,Bereaved,2,,,20260909
428,55,Male,No religion,Divorced,No,Had COVID,1,,,20260909
429,31,Female,Christian,Single,Yes,None,2,,,20260909
430,65,Male,Christian,Married,No,None,1,,,20260909
431,50,Female,Christian,Single,No,Had COVID,3,,,20260909
432,60,Male,No religion,Single,No,Had COVID,2,,,20260909
433,80,Female,Christian,Widowed,No,None,1,,,20260909
434,56,Male,No religion,Married,No,Had COVID,2,,,20260909
435,58,Female,Christian,Widowed,No,None,2,,,20260909
436,18,Male,Christian,Single,No,None,2,,,20260909
437,61,Male,Christian,Married,No,Had COVID,4,,,20260909
438,57,Female,Christian,Married,No,Bereaved,4,,,20260909
439,74,Male,No religion,Divorced,No,None,4,,,20260909
440,29,Male,Christian,Single,Yes,Had COVID,2,,,20260909
441,25,Female,Christian,Single,No,None,4,,,20260909
442,74,Male,Christian,Widowed,No,Long COVID,2,,,20260909
443,29,Male,Christian,Single,Yes,None,3,,,20260909
444,33,Male,Not answered,Single,No,Had COVID,4,,,20260909
445,55,Female,Christian,Married,Yes,Bereaved,4,4,Conspiracy Ideation,20260909
446,55,Female,No religion,Married,No,Had COVID,2,,,20260909
447,57,Male,No religion,Married,No,Bereaved,2,,,20260909
448,41,Male,No religion,Married,Yes,None,3,,,20260909
449,61,Male,No religion,Married,No,None,2,,,20260909
450,70,Female,No religion,Divorced,No,Had COVID,3,,,20260909
451,48,Female,Not answered,Married,No,Had COVID,3,,,20260909
452,53,Female,No religion,Married,No,Bereaved,3,,,20260909
453,68,Female,No religion,Widowed,No,None,4,,,20260909
454,31,Male,Christian,Single,No,Had COVID,3,,,20260909
