respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_vacdisc,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
11,51,Female,Muslim,Married,No,None,1,NA,,20260909002,-10.24,-0.859807,-9.73026,-1.99735,-10.94,-0.352609,-0.224691,0.0178792,-0.0599495,-0.302853,1.10722,0.632499,0.616001,0.836944,1.96518,1.85517,0.53904,1.31893,1.33729,2.02477,8.42004,-0.175706,-0.0582183,-0.210405,-0.627989,-1.35875,-3.07696,-0.205436
12,73,Male,Christian,Single,No,None,4,4,Conspiracy Ideation,20260909002,-9.20607,-0.903635,-8.55195,-2.03952,-9.80587,-0.122757,-0.0510389,0.173966,0.100049,-0.00220636,1.45674,0.696247,0.648309,1.05266,1.91466,2.03184,0.619941,1.31087,1.42777,2.10513,7.19856,-0.185457,-0.109073,-0.238165,-0.654901,-1.34135,-3.07519,-0.195662
13,62,Male,Christian,Divorced,No,Bereaved,1,NA,,20260909002,-8.57684,-0.70814,-7.98853,-1.73284,-9.15786,-0.337763,-0.339169,-0.0636733,-0.0628613,-0.386575,1.15556,0.570614,0.603164,0.625535,1.7805,1.73341,0.46817,1.26171,1.11267,1.9723,6.7937,-0.151971,-0.115997,-0.300177,-0.704502,-1.39209,-3.13317,-0.199177
14,47,Male,No religion,Separated,No,Had COVID,2,NA,,20260909002,-10.5021,-0.979923,-9.76274,-1.98163,-10.9472,-0.263745,-0.214316,0.0222503,0.165276,-0.253106,1.19264,0.600388,0.500097,0.790774,1.72493,2.00371,0.582806,1.24768,1.1948,1.9233,8.46184,-0.155994,-0.123851,-0.262136,-0.683041,-1.39313,-3.11969,-0.169953
15,34,Male,Hindu,Single,No,Had COVID,3,NA,,20260909002,-9.86504,-0.76902,-9.24661,-1.86369,-10.5254,-0.44724,-0.197585,-0.0281106,-0.126789,-0.466498,1.01262,0.34287,0.436836,0.740598,1.73515,1.79786,0.460033,1.1527,1.37636,2.02128,8.13114,-0.185554,-0.116519,-0.277568,-0.655025,-1.3714,-3.0885,-0.190128
16,48,Female,Christian,Single,Yes,Had COVID,1,NA,,20260909002,-9.70898,-1.01241,-8.94023,-1.87944,-10.4779,-0.369711,-0.274941,-0.0954794,-0.251036,-0.477441,1.15383,0.715843,0.542769,0.827853,2.05897,1.86509,0.537154,1.27048,1.32138,2.1364899999999998,7.73741,-0.179879,-0.0998308,-0.282179,-0.74006,-1.39338,-3.18109,-0.141753
17,50,Female,Christian,Married,No,Bereaved,4,NA,,20260909002,-8.57694,-0.606452,-8.23527,-1.65202,-9.23035,-0.261566,-0.0774692,0.00851624,-0.0223759,-0.147439,0.843154,0.30336,0.653483,0.64627,1.48128,1.45411,0.180672,1.26145,1.10993,1.64824,7.00986,-0.168429,-0.115272,-0.254581,-0.671424,-1.40162,-3.05618,-0.188939
18,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-10.3434,-0.773539,-9.94027,-1.766,-11.0483,-0.400482,-0.145684,0.00482308,-0.202308,-0.445968,0.999555,0.481287,0.68903,0.708315,1.77967,1.78157,0.473325,1.29936,1.25904,2.02552,8.65881,-0.144164,-0.0642631,-0.220038,-0.668428,-1.42343,-3.11557,-0.210323
19,33,Male,Christian,Married,No,Had COVID,3,NA,,20260909002,-11.6925,-0.901512,-10.9668,-1.95303,-12.2614,-0.244913,-0.109018,-0.0423354,0.118712,-0.352267,1.1299,0.589998,0.572138,0.860339,1.96357,1.86687,0.547719,1.26536,1.34146,2.19234,9.75666,-0.231753,-0.200808,-0.275952,-0.698236,-1.38273,-3.13514,-0.216936
20,89,Female,Christian,Married,No,None,1,NA,,20260909002,-8.82707,-0.700279,-8.38329,-2.01066,-9.8308700000000009,-0.205048,-0.0499944,0.0730301,0.166519,0.0375167,1.01126,0.444951,0.513642,0.908079,2.05019,1.51461,0.272143,1.13529,1.22962,1.93346,7.19826,-0.124229,-0.118191,-0.235752,-0.663,-1.4285,-3.20724,-0.179746
21,38,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-11.3455,-0.920321,-10.7335,-1.86534,-11.943,-0.185781,-0.152629,0.0127775,-0.0782155,-0.338657,0.993929,0.474843,0.510662,0.67026,1.63589,1.81612,0.624782,1.24726,1.35433,2.04375,9.5093,-0.170657,-0.153675,-0.264056,-0.712512,-1.37963,-3.11441,-0.207967
22,46,Female,Christian,Single,Yes,Long COVID,4,NA,,20260909002,-9.42897,-0.893798,-8.74129,-1.86868,-10.0514,-0.15466,-0.0171353,0.0945623,0.148483,-0.113368,1.04728,0.615143,0.406965,0.648409,1.77128,1.88079,0.501483,1.23271,1.23239,1.9238,7.55001,-0.232017,-0.17749,-0.252618,-0.713079,-1.39074,-3.13254,-0.192326
23,38,Female,No religion,Widowed,Yes,None,1,NA,,20260909002,-8.85561,-1.05118,-8.11689,-1.8835,-9.57184,-0.250343,-0.0280271,-0.00938077,-0.0566106,-0.238565,1.0516,0.58152,0.441966,0.571777,1.8133,1.86898,0.554873,1.23043,1.33241,2.09549,6.85373,-0.138734,-0.15093,-0.282489,-0.691474,-1.39079,-3.14185,-0.19812
24,34,Female,No religion,Married,Yes,None,1,NA,,20260909002,-9.82989,-0.638332,-9.19828,-1.76727,-10.5195,-0.262368,-0.195221,0.0403012,-0.0786313,-0.351556,1.1413,0.493483,0.385452,0.793493,1.88896,1.83486,0.391801,1.05665,1.32261,2.03825,8.14837,-0.133169,-0.111204,-0.234584,-0.65948,-1.35119,-3.07077,-0.176966
25,75,Male,Christian,Single,No,Had COVID,4,NA,,20260909002,-9.81198,-0.877816,-9.13153,-1.87854,-10.6335,-0.138354,-0.02395,0.0723516,0.106367,0.0104491,0.970144,0.474473,0.49278,0.573673,1.85909,1.78342,0.448435,1.13212,1.11399,2.00603,7.93378,-0.204065,-0.104418,-0.23062,-0.71021,-1.39685,-3.14822,-0.191273
26,48,Male,Christian,Divorced,No,Bereaved,2,NA,,20260909002,-10.3677,-0.895083,-9.81023,-2.13394,-10.973,-0.0847784,-0.0536772,0.118777,0.158779,-0.0788506,0.994006,0.392327,0.662869,0.912278,1.77642,1.85147,0.574213,1.29598,1.34067,2.06341,8.40666,-0.1695,-0.112681,-0.279964,-0.712943,-1.41283,-3.1842800000000002,-0.199124
27,59,Female,No religion,Married,No,Bereaved,2,2,Libertarianism,20260909002,-11.9238,-0.750589,-11.3735,-1.83938,-12.7205,-0.403857,-0.265408,-0.082899,-0.191583,-0.143553,0.937245,0.393359,0.592859,0.63888,1.60923,1.67081,0.46409,1.24621,1.30284,2.0135,10.2012,-0.193323,-0.106647,-0.276804,-0.675152,-1.36999,-3.08511,-0.209034
28,31,Male,No religion,Single,Yes,Had COVID,2,NA,,20260909002,-9.24087,-0.674658,-8.72955,-1.91628,-9.77931,-0.30269,-0.199491,0.0972642,0.0716179,-0.313221,0.972465,0.343244,0.437831,0.712095,1.572,1.53195,0.262533,1.02634,1.13108,1.76161,7.49779,-0.160443,-0.112985,-0.230343,-0.613597,-1.37562,-3.10055,-0.209612
29,68,Male,No religion,Married,No,Had COVID,4,NA,,20260909002,-10.3986,-0.997506,-9.82328,-1.94218,-11.3463,-0.238547,-0.063192,-0.0245934,-0.0559885,-0.244454,0.892265,0.465272,0.564852,0.699284,2.1116,1.92043,0.65487,1.4053,1.55063,2.2498,8.55903,-0.121726,-0.0940369,-0.267788,-0.691737,-1.3746,-3.11866,-0.187747
30,42,Female,No religion,Married,Yes,None,2,NA,,20260909002,-10.8566,-0.977526,-10.3182,-1.94698,-11.5381,-0.424092,-0.275508,-0.113098,-0.151724,-0.431677,1.28477,0.697402,0.593368,0.853416,1.93019,2.04993,0.791643,1.39252,1.31079,2.21311,9.00577,-0.181183,-0.0916994,-0.195132,-0.621305,-1.38683,-3.12593,-0.142332
31,46,Female,Not answered,Married,No,Had COVID,1,NA,,20260909002,-10.4706,-0.716745,-10.0706,-1.78729,-11.1277,-0.238564,-0.116591,0.108388,-0.0333024,-0.252421,0.917305,0.416794,0.523892,0.850057,1.66405,1.6584700000000001,0.433444,1.24018,1.25181,1.9306,8.82262,-0.198852,-0.128288,-0.226149,-0.635962,-1.38715,-3.11772,-0.210403
32,23,Female,No religion,Single,No,Had COVID,2,NA,,20260909002,-10.5018,-1.01601,-9.91295,-1.9456,-11.2731,-0.194061,-0.0593055,0.0922335,0.0193315,-0.177382,1.32549,0.824108,0.713154,0.951866,2.33133,1.94863,0.668326,1.31863,1.45471,2.25687,8.5583,-0.15877,-0.100612,-0.264333,-0.716214,-1.4314,-3.19081,-0.251028
33,42,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-9.25188,-0.734389,-8.79261,-1.89308,-10.0542,-0.267779,-0.114344,-0.0582246,-0.127899,-0.248942,0.708672,0.25591,0.461566,0.726529,1.5757,1.61475,0.343022,1.23586,1.16863,2.12745,7.54047,-0.160814,-0.132099,-0.304682,-0.756958,-1.45473,-3.24911,-0.16956
34,48,Female,Hindu,Married,Yes,Bereaved,3,NA,,20260909002,-11.0205,-0.859257,-10.2675,-1.81605,-11.411,-0.372738,-0.279225,-0.0534724,-0.0595134,-0.279316,1.14847,0.619209,0.496969,0.761833,1.81348,1.94473,0.484964,1.12784,1.15019,1.71968,9.12798,-0.193858,-0.152388,-0.300576,-0.687935,-1.43041,-3.09817,-0.172556
35,36,Male,Christian,Single,No,Bereaved,4,1,Scientific Rationalism,20260909002,-9.23964,-0.625817,-8.62483,-1.7053,-9.91553,-0.411731,-0.292112,-0.0402007,-0.083603,-0.350987,0.789452,0.328395,0.394821,0.596061,1.73083,1.92314,0.382782,1.17461,1.21366,1.93752,7.51995,-0.196747,-0.174954,-0.286271,-0.709193,-1.40121,-3.17219,-0.208514
36,31,Female,Jewish,Single,Yes,Had COVID,1,4,Conspiracy Ideation,20260909002,-9.39906,-0.683082,-8.99962,-1.79986,-10.0477,-0.183566,-0.151122,0.0607963,-0.135369,-0.0314862,1.02077,0.489268,0.534335,0.878743,1.57474,1.47867,0.322545,1.25704,1.18865,1.77134,7.73322,-0.182941,-0.122299,-0.271309,-0.729898,-1.40263,-3.11625,-0.224352
37,40,Female,No religion,Married,Yes,Had COVID,4,NA,,20260909002,-9.15393,-0.81285,-8.49596,-1.86056,-9.82007,-0.261095,-0.18397,0.0257245,-0.0046285400000000004,-0.198597,1.09626,0.521985,0.521591,0.783767,1.84301,1.77711,0.397019,1.11274,1.25404,1.99401,7.26925,-0.173721,-0.162767,-0.306989,-0.677225,-1.42407,-3.20228,-0.163238
38,58,Female,Christian,Divorced,No,Had COVID,4,3,Communitarianism,20260909002,-8.96372,-0.850678,-8.31399,-1.80011,-9.59976,-0.399167,-0.286687,-0.0701793,-0.117651,-0.531399,1.12052,0.574459,0.519786,0.830585,1.83637,1.76847,0.500226,1.15034,1.15427,2.04462,7.14827,-0.152488,-0.107004,-0.226063,-0.658096,-1.36526,-3.07537,-0.156728
39,29,Male,Christian,Divorced,Yes,Had COVID,4,NA,,20260909002,-9.08911,-0.794569,-8.63044,-1.89329,-9.56824,-0.390735,-0.0614533,0.064786,-0.0703285,-0.203401,1.03693,0.456204,0.443579,0.729632,1.58605,1.64026,0.425328,1.04727,1.05805,1.57515,7.3393,-0.123942,-0.0576792,-0.261001,-0.600403,-1.43899,-3.18023,-0.18717
40,55,Female,Not answered,Married,No,None,1,NA,,20260909002,-10.5317,-1.16531,-9.72568,-1.91753,-11.3118,-0.031912,0.0119287,0.103983,-0.0393869,0.108096,1.30319,0.740157,0.620399,0.825311,2.07846,2.02337,0.79969,1.3125,1.34596,2.43393,8.39142,-0.184187,-0.128243,-0.285448,-0.714757,-1.42335,-3.1674,-0.240381
41,73,Female,Not answered,Single,No,None,3,NA,,20260909002,-10.7452,-0.882361,-10.2121,-1.95514,-11.3555,-0.101342,-0.0593296,0.202616,0.082024,-0.198885,0.914848,0.355391,0.446714,0.602876,1.63713,1.62219,0.299634,1.24918,1.26858,1.81208,8.85498,-0.162813,-0.0563261,-0.315142,-0.720362,-1.40271,-3.14249,-0.164392
42,73,Female,No religion,Widowed,No,Bereaved,2,NA,,20260909002,-10.1506,-1.02171,-9.44295,-2.18091,-10.8067,-0.255484,-0.107325,-0.045202,-0.0923279,-0.181899,1.06929,0.424613,0.495938,0.994485,1.74351,2.06794,0.661343,1.2899,1.55522,2.11743,8.14216,-0.122564,-0.0922249,-0.216831,-0.618093,-1.42842,-3.15747,-0.139854
43,29,Female,Christian,Single,No,None,1,NA,,20260909002,-10.0795,-0.855329,-9.41738,-1.86792,-10.6843,-0.313176,-0.141683,0.00611845,0.0345537,-0.279605,1.10298,0.493778,0.624117,0.812075,1.77767,1.71064,0.426879,1.15451,1.23159,1.8998,8.1706,-0.165791,-0.118237,-0.22779,-0.674062,-1.43155,-3.18745,-0.187856
44,74,Female,Christian,Married,No,Had COVID,4,NA,,20260909002,-9.45353,-0.663644,-8.84664,-1.80884,-9.92686,-0.557035,-0.410551,-0.0105251,-0.120811,-0.542232,1.29068,0.531682,0.450139,0.785558,1.76966,1.72149,0.353524,1.09181,1.09777,1.74304,7.70984,-0.238402,-0.198773,-0.253772,-0.702955,-1.38021,-3.13404,-0.21429
45,29,Female,Christian,Married,No,None,4,NA,,20260909002,-9.12125,-0.651214,-8.6582,-1.72524,-9.71021,-0.491748,-0.337976,-0.0133296,-0.361552,-0.41942,0.989497,0.441287,0.470929,0.74381,1.85085,1.67163,0.408757,1.2458,1.19762,1.83119,7.41832,-0.20298,-0.138386,-0.263097,-0.681582,-1.41417,-3.1869,-0.203972
46,18,Male,Christian,Single,No,None,4,1,Scientific Rationalism,20260909002,-9.09158,-0.986408,-8.33298,-1.74044,-9.74507,-0.188815,-0.0142089,-0.0346764,-0.083219,-0.0759794,1.0397,0.465133,0.41167,0.454988,1.74789,1.87514,0.523227,1.22612,1.15366,1.99204,7.0927,-0.19021,-0.134014,-0.306259,-0.73493,-1.40248,-3.1121,-0.204198
47,60,Female,Muslim,Single,No,Had COVID,2,NA,,20260909002,-9.02616,-0.741912,-8.44074,-1.86215,-9.54023,-0.274676,-0.23388,0.0652253,-0.0368775,-0.339521,1.13628,0.504457,0.568661,0.770603,1.79703,1.71864,0.433912,1.23663,1.28256,1.91504,7.16912,-0.187589,-0.144563,-0.299687,-0.661193,-1.38184,-3.11718,-0.207375
48,41,Female,Not answered,Single,Yes,None,1,NA,,20260909002,-9.29254,-0.854568,-8.76158,-1.77219,-10.0051,-0.151723,-0.0331717,0.00512442,-0.00639041,-0.081344,0.857655,0.378751,0.523549,0.575641,1.59945,1.67747,0.367005,1.2252,1.14344,1.97927,7.49196,-0.164283,-0.0998667,-0.289904,-0.687351,-1.42854,-3.17502,-0.149316
49,29,Female,Muslim,Single,Yes,Bereaved,3,NA,,20260909002,-9.10576,-0.824145,-8.66194,-1.7718,-10.1285,-0.393767,-0.28692,0.016900600000000002,-0.153864,-0.192244,0.881162,0.595644,0.528779,0.652174,1.91585,1.61665,0.544968,1.13447,1.20457,2.06711,7.48648,-0.163644,-0.141255,-0.241687,-0.669481,-1.34538,-3.13125,-0.186404
50,50,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-11.465,-0.945246,-10.823,-2.14297,-12.0938,-0.0904602,0.0013832,0.174311,0.153097,-0.0698425,1.2315,0.546939,0.550374,0.976947,1.91588,1.71644,0.392766,1.19349,1.48845,1.95483,9.5167,-0.18665,-0.12951,-0.271578,-0.656054,-1.3488,-3.08298,-0.200373
51,36,Male,No religion,Single,Yes,Long COVID,4,NA,,20260909002,-9.27679,-0.962717,-8.78002,-2.0883,-9.80964,-0.201541,0.0164505,0.116239,0.123082,-0.189455,0.94617,0.477934,0.480201,0.675409,1.62169,1.7244,0.470201,1.28053,1.33799,1.75709,7.40767,-0.163714,-0.105885,-0.267565,-0.632909,-1.43553,-3.1426,-0.177399
52,35,Male,No religion,Married,No,None,4,NA,,20260909002,-10.1018,-0.608331,-9.64827,-1.72344,-10.8172,-0.403706,-0.218233,-0.0733362,-0.161731,-0.252339,0.846846,0.316968,0.481147,0.667993,1.72683,1.60465,0.301235,1.14424,1.13768,1.7528,8.54503,-0.160165,-0.0648515,-0.267675,-0.695735,-1.41506,-3.14916,-0.206886
53,61,Female,Christian,Married,No,None,4,NA,,20260909002,-10.4365,-0.942511,-9.6924,-1.68922,-11.1047,-0.31092,-0.213479,0.0253842,-0.110177,-0.20604,1.23261,0.555369,0.430719,0.501011,1.769,1.9402,0.646898,1.20285,1.12103,2.04561,8.5344,-0.187392,-0.150535,-0.26124000000000003,-0.708353,-1.35116,-3.02886,-0.188389
54,41,Male,No religion,Married,Yes,Had COVID,3,NA,,20260909002,-10.4322,-0.965696,-9.7506,-1.81722,-11.155,-0.315528,-0.0850841,-0.0144333,-0.0550671,-0.214799,0.886504,0.402554,0.412301,0.55574,1.64183,1.80162,0.55772,1.224,1.28391,2.02619,8.57975,-0.219314,-0.145125,-0.243128,-0.671921,-1.39013,-3.08741,-0.168412
55,67,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-10.1997,-1.00383,-9.61227,-1.89618,-11.0361,-0.0943472,0.166572,0.138979,0.0921291,0.0811435,0.781211,0.332736,0.452615,0.623997,1.75667,1.77728,0.521755,1.27496,1.35691,2.18807,8.32964,-0.189318,-0.202302,-0.294939,-0.765106,-1.42228,-3.16748,-0.198075
56,35,Male,Not answered,Single,No,None,1,NA,,20260909002,-8.67194,-0.940294,-7.99327,-1.85473,-9.479,-0.116206,-0.0294988,0.0872868,0.104777,-0.0734028,0.991736,0.526568,0.459574,0.810532,1.94633,1.65023,0.458346,1.18432,1.1502,2.03254,6.78176,-0.184698,-0.158051,-0.254932,-0.652048,-1.35424,-3.05568,-0.202106
57,61,Female,No religion,Married,No,None,2,NA,,20260909002,-9.63119,-0.619828,-9.21449,-1.65506,-10.2507,-0.396457,-0.270211,-0.0242396,-0.149081,-0.342684,0.841946,0.370133,0.429488,0.581624,1.51472,1.71829,0.361823,1.2416,1.18832,1.83213,7.9801,-0.188174,-0.153111,-0.219146,-0.629711,-1.40714,-3.1009,-0.216089
58,20,Female,No religion,Single,No,None,4,NA,,20260909002,-9.13937,-0.807942,-8.58624,-1.82337,-9.90535,-0.213246,-0.0822182,0.0636638,0.0891597,-0.136985,1.19316,0.588066,0.581476,0.776902,1.76348,1.76088,0.539088,1.11999,1.18616,2.09003,7.37798,-0.153973,-0.113594,-0.232427,-0.637835,-1.42591,-3.14735,-0.214933
59,46,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-11.2884,-0.633612,-10.6729,-1.84335,-11.8049,-0.113757,-0.108557,0.0785302,0.145627,-0.210172,1.14284,0.382153,0.445333,0.642753,1.84515,1.77982,0.315121,1.1583,1.21813,1.81488,9.47279,-0.150318,-0.0532347,-0.261003,-0.66899,-1.4669,-3.22109,-0.219487
60,27,Female,Christian,Single,No,Had COVID,2,NA,,20260909002,-10.0502,-0.77139,-9.52918,-1.75555,-10.6182,-0.237167,-0.0901949,0.0213302,0.109425,-0.199609,0.972836,0.318154,0.394079,0.55081,1.46945,1.49057,0.324871,1.15342,1.01096,1.80891,8.30196,-0.214426,-0.0952535,-0.258004,-0.634449,-1.36252,-3.08042,-0.215342
61,52,Female,Christian,Married,No,None,2,NA,,20260909002,-9.75512,-0.926974,-9.20396,-1.82895,-10.5366,-0.197939,-0.047678,0.132237,-0.00730364,-0.113356,1.13879,0.524348,0.655599,0.570741,1.87333,1.98385,0.624279,1.374,1.36197,2.28765,7.83525,-0.190293,-0.108836,-0.258523,-0.668431,-1.39094,-3.12978,-0.171732
62,58,Female,No religion,Married,No,Bereaved,2,NA,,20260909002,-8.63346,-0.992403,-8.0279,-1.99883,-9.41769,-0.251411,0.00323485,0.12181,0.115215,-0.0321412,1.15095,0.669454,0.602033,0.927734,1.91714,1.88476,0.584664,1.27455,1.33351,2.09913,6.68782,-0.201349,-0.14405,-0.256217,-0.656573,-1.39169,-3.14359,-0.197989
63,53,Male,Christian,Married,No,None,3,NA,,20260909002,-10.5733,-0.788843,-9.97668,-1.95298,-11.0725,-0.229181,-0.0677029,0.0329546,0.0120555,-0.219877,1.04341,0.391514,0.448327,0.756632,1.53579,1.84164,0.375386,1.19392,1.38253,1.91787,8.69845,-0.21031,-0.126291,-0.240631,-0.597095,-1.42187,-3.13011,-0.226807
64,61,Male,Christian,Married,No,None,4,1,Scientific Rationalism,20260909002,-10.9361,-0.925839,-10.3357,-1.78488,-11.4612,-0.326248,-0.19936,0.0321082,-0.0618825,-0.336641,1.19748,0.621962,0.637114,0.65687,1.80175,1.93359,0.605567,1.28131,1.21346,2.06557,9.04476,-0.163669,-0.11411,-0.293607,-0.737073,-1.41665,-3.16066,-0.206698
65,26,Female,Christian,Single,No,Long COVID,3,NA,,20260909002,-8.13903,-0.869459,-7.64989,-1.98122,-8.83029,-0.103375,0.0126498,0.07962,0.204512,-0.15009,0.728202,0.377262,0.580282,0.678275,1.65245,1.56846,0.478835,1.25036,1.22835,2.09678,6.31495,-0.204608,-0.132132,-0.270915,-0.682026,-1.40076,-3.11896,-0.161197
66,28,Female,No religion,Separated,Yes,None,2,NA,,20260909002,-8.44922,-0.871068,-7.83087,-1.81286,-9.20036,-0.267997,-0.0808771,0.0155331,-0.0542396,-0.0286909,0.978911,0.431128,0.452239,0.662391,1.72908,1.73461,0.486085,1.10752,1.19403,2.09197,6.59889,-0.21152,-0.161735,-0.268336,-0.662907,-1.40144,-3.11383,-0.193213
67,18,Female,No religion,Single,No,Bereaved,2,NA,,20260909002,-8.83442,-0.788476,-8.22407,-1.67352,-9.57191,-0.148719,-0.0225087,0.143425,0.104367,-0.170368,1.00642,0.448113,0.432292,0.429009,1.82228,1.73485,0.380095,1.09243,1.01397,1.9958,7.05322,-0.156562,-0.122901,-0.292019,-0.676836,-1.37704,-3.13797,-0.170325
68,44,Female,Christian,Married,No,None,3,NA,,20260909002,-8.63346,-0.992403,-8.0279,-1.99883,-9.41769,-0.251411,0.00323485,0.12181,0.115215,-0.0321412,1.15095,0.669454,0.602033,0.927734,1.91714,1.88476,0.584664,1.27455,1.33351,2.09913,6.68782,-0.201349,-0.14405,-0.256217,-0.656573,-1.39169,-3.14359,-0.197989
