participant_id,age,sex,ethnicity,region,employment_status,income_bracket,clinically_vulnerable,has_school_age_child,assigned_block,choice_string,set1_chosen,set2_chosen,set3_chosen,set4_chosen,set5_chosen,set6_chosen,set7_chosen,set8_chosen,set9_chosen,set10_chosen,set11_chosen,set12_chosen
P035,32,Female,White British,South West,Employed,Medium,No,Yes,blk1,211122,,,,alt2,,,alt1,alt1,,alt1,alt2,alt2
P036,66,Male,Black/Black British,East of England,Retired,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P037,34,Male,White British,East of England,Unemployed,Low,No,No,blk1,212222,,,,alt2,,,alt1,alt2,,alt2,alt2,alt2
P038,39,Female,White British,South West,Homemaker,Low,No,Yes,blk2,222211,alt2,alt2,alt2,,alt2,alt1,,,alt1,,,
P039,88,Male,White British,London,Retired,High,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P040,81,Female,White British,South East,Retired,Low,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P041,78,Female,White British,East of England,Retired,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P042,58,Female,White British,North West,Homemaker,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P043,38,Female,White British,South West,Employed,Medium,No,No,blk1,121222,,,,alt1,,,alt2,alt1,,alt2,alt2,alt2
P044,54,Female,White British,West Midlands,Employed,High,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P045,39,Female,White British,West Midlands,Employed,Medium,No,No,blk1,121122,,,,alt1,,,alt2,alt1,,alt1,alt2,alt2
P046,38,Female,White British,North West,Employed,High,No,Yes,blk2,111111,alt1,alt1,alt1,,alt1,alt1,,,alt1,,,
P047,49,Female,White British,East Midlands,Employed,High,No,Yes,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P048,29,Female,White British,South East,Employed,Medium,No,No,blk2,222122,alt2,alt2,alt2,,alt1,alt2,,,alt2,,,
P049,20,Male,White British,London,Student,Low,No,No,blk1,112112,,,,alt1,,,alt1,alt2,,alt1,alt1,alt2
P050,2,Male,White British,South East,Child (pre-school),Low,No,No,blk2,122211,alt1,alt2,alt2,,alt2,alt1,,,alt1,,,
P051,45,Male,White Other,Scotland,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P052,44,Male,Asian/Asian British,Scotland,Employed,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P053,13,Female,White British,South West,Child (secondary school),Medium,No,No,blk1,121221,,,,alt1,,,alt2,alt1,,alt2,alt2,alt1
P054,6,Female,White British,Yorkshire,Child (primary school),Medium,No,No,blk2,122122,alt1,alt2,alt2,,alt1,alt2,,,alt2,,,
P055,61,Male,White British,East Midlands,Homemaker,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P056,37,Male,White British,South West,Employed,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P057,49,Female,White British,South East,Employed,Medium,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P058,35,Female,Asian/Asian British,East of England,Unemployed,Low,No,No,blk2,121121,alt1,alt2,alt1,,alt1,alt2,,,alt1,,,
P059,87,Female,White Other,London,Employed,Medium,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P060,2,Female,Black/Black British,South West,Child (pre-school),Medium,No,No,blk2,221112,alt2,alt2,alt1,,alt1,alt1,,,alt2,,,
P061,38,Male,White British,North East,Employed,High,No,No,blk1,122222,,,,alt1,,,alt2,alt2,,alt2,alt2,alt2
P062,37,Female,White British,East Midlands,Employed,High,No,No,blk2,222222,alt2,alt2,alt2,,alt2,alt2,,,alt2,,,
P063,44,Female,White British,London,Homemaker,Medium,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P064,26,Male,Black/Black British,Wales,Unable to work,Low,No,No,blk2,222121,alt2,alt2,alt2,,alt1,alt2,,,alt1,,,
P065,40,Female,White British,South East,Unable to work,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P066,75,Female,White British,Yorkshire,Retired,Low,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P067,73,Female,Black/Black British,Yorkshire,Employed,Medium,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P068,19,Male,White British,Yorkshire,Unemployed,Low,No,No,blk2,121221,alt1,alt2,alt1,,alt2,alt2,,,alt1,,,
P069,32,Male,White British,Yorkshire,Employed,Low,No,No,blk1,211111,,,,alt2,,,alt1,alt1,,alt1,alt1,alt1
P070,28,Male,White British,London,Homemaker,High,No,No,blk2,212111,alt2,alt1,alt2,,alt1,alt1,,,alt1,,,
P071,51,Female,White British,East of England,Unable to work,Medium,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P072,3,Male,White British,Yorkshire,Child (pre-school),Medium,No,No,blk2,211122,alt2,alt1,alt1,,alt1,alt2,,,alt2,,,
P073,69,Female,White British,South East,Retired,Medium,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P074,3,Male,White British,London,Child (pre-school),High,No,No,blk2,222121,alt2,alt2,alt2,,alt1,alt2,,,alt1,,,
P075,38,Female,White Other,South East,Homemaker,Low,No,No,blk1,221221,,,,alt2,,,alt2,alt1,,alt2,alt2,alt1
P076,87,Female,White Other,East of England,Part-time employed,Low,Yes,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P077,65,Male,White British,London,Unable to work,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P078,24,Male,White British,London,Unable to work,Low,No,No,blk2,122221,alt1,alt2,alt2,,alt2,alt2,,,alt1,,,
P079,53,Male,White British,South East,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P080,33,Female,White British,Yorkshire,Employed,High,No,Yes,blk2,222111,alt2,alt2,alt2,,alt1,alt1,,,alt1,,,
P081,55,Female,Mixed/Other,London,Employed,High,No,Yes,blk1,121112,,,,alt1,,,alt2,alt1,,alt1,alt1,alt2
P082,20,Female,White British,East of England,Unemployed,High,No,No,blk2,211111,alt2,alt1,alt1,,alt1,alt1,,,alt1,,,
P083,21,Female,White British,South East,Student,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P084,33,Female,White British,North West,Homemaker,Low,No,No,blk2,222121,alt2,alt2,alt2,,alt1,alt2,,,alt1,,,
P085,52,Female,White British,Wales,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P086,49,Male,White British,London,Unemployed,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P087,23,Female,White British,North West,Employed,Medium,No,No,blk1,121221,,,,alt1,,,alt2,alt1,,alt2,alt2,alt1
P088,8,Male,White British,North West,Child (primary school),Medium,No,No,blk2,221121,alt2,alt2,alt1,,alt1,alt2,,,alt1,,,
P089,57,Male,Asian/Asian British,London,Employed,Medium,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P090,26,Male,White British,East Midlands,Homemaker,Medium,No,No,blk2,122122,alt1,alt2,alt2,,alt1,alt2,,,alt2,,,
P091,64,Male,White British,North West,Unable to work,Low,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P092,77,Female,White British,South West,Retired,Low,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P093,16,Male,White British,South West,Child (secondary school),Low,No,No,blk1,212121,,,,alt2,,,alt1,alt2,,alt1,alt2,alt1
P094,10,Female,White British,Yorkshire,Child (primary school),Low,No,No,blk2,122211,alt1,alt2,alt2,,alt2,alt1,,,alt1,,,
P095,7,Male,White British,West Midlands,Child (primary school),Low,No,No,blk1,212122,,,,alt2,,,alt1,alt2,,alt1,alt2,alt2
P096,24,Female,White British,London,Unable to work,Medium,No,No,blk2,211112,alt2,alt1,alt1,,alt1,alt1,,,alt2,,,
P097,2,Male,Black/Black British,West Midlands,Child (pre-school),Medium,No,No,blk1,111222,,,,alt1,,,alt1,alt1,,alt2,alt2,alt2
P098,11,Male,White British,East of England,Child (primary school),Low,No,No,blk2,221211,alt2,alt2,alt1,,alt2,alt1,,,alt1,,,
P099,58,Female,White British,London,Employed,Low,No,No,blk1,121222,,,,alt1,,,alt2,alt1,,alt2,alt2,alt2
P100,39,Female,White British,Scotland,Self-employed,Medium,No,No,blk2,221121,alt2,alt2,alt1,,alt1,alt2,,,alt1,,,
